Production_budget,Worldwide_gross
18000000,103215094
30000000,103284813
5000000,103300632
40000000,103429755
28000000,103452875
30000,103509
70000000,103735965
35000000,103787401
1200000,103880027
73000000,103891409
60000000,104100903
10000000,104223315
65000000,104264617
60000000,104324083
57000000,104364680
40000000,104407366
60000000,104429625
50000000,104488383
16000000,104504817
45000000,104505362
95000000,104907746
49000000,105002056
88000000,105021488
11500000,105078449
50000000,105103784
28000000,105159085
30000000,105173042
80000000,105299638
2000000,105377
60000000,105703325
38000000,105887837
40000000,105945357
90000000,106000000
30000000,106030660
31000000,106282604
10000000,106460
40000000,106511453
80000000,106515310
40000000,106548738
7500000,106593296
30000000,107054484
53012938,107190108
120000000,107212751
12000000,107217396
125000000,107387069
1000000,107590
38000000,107650646
48000000,107752036
62000000,107822813
9000000,107967319
78000000,108086731
60000000,108119662
15000000,108286422
80000000,108469033
75000000,108517735
50000000,108660270
35000000,108757621
95000000,108874967
2500000,108907
30000000,108957098
60000000,108996113
4400000,108997629
18500000,109175673
5000000,109252972
72500000,109362966
10000000,109383
13000000,109421911
4000000,109492484
21000000,109501146
17000000,109793192
17500000,109843390
53000000,109848461
20000000,109862682
4638783,11000000
2300000,11000000
1250000,11000000
110000,11000000
5000000,11014961
5000000,11017403
47000000,11022696
3000000,11052713
25000000,11100000
25000000,11115766
4000000,11131455
13000000,11141213
15000000,11156471
14000000,11166615
15000000,11173718
3400000,11182908
1500000,11191423
45000000,11203026
2000000,11217346
3000000,11218621
25000000,11229035
30000000,11247280
25000000,11253821
2000000,11263263
34000000,11263966
12500000,11277119
15000000,11279884
2000000,11295324
9900000,11310835
3000000,11322573
6000000,11348205
14000000,11354230
10000000,11360665
10000000,11400000
60000000,11427090
1000000,11495204
55000000,11532774
3000000,11537539
16000000,11540112
10000000,11546543
35000000,11559747
1000000,11574
30000000,11578022
30000000,11598474
15000000,11599903
25000000,11603545
15000000,11614954
5200000,11633427
17000000,11634458
6000000,11642254
24000000,11723620
13500000,11732088
13700000,11738256
20000000,11744960
6500000,11745931
4000000,11757
7500000,11758418
10000000,11766959
700000,11768371
4500000,11774
23000000,11778396
6000000,11784569
5000000,11792942
4000000,11799060
1500000,11806119
16000000,11810854
18000000,11813989
12500000,11826980
13000000,11831131
7500000,11843260
35000000,11846010
11000000,11862650
10000000,11894
10000000,11924041
4000000,11972561
900000,11993156
55000000,110387072
52000000,110400000
22000000,110521733
100000,110536
150000,110719
12000000,110989157
20000000,111156801
50000000,111300835
38000000,111336398
20000000,111448997
9000000,111534881
9500000,111600000
22000000,111800189
35000000,111854182
60000000,111898741
45000000,112006296
11000000,112036323
23000000,112036870
47500000,112214531
48000000,112610386
25000000,112798051
28000000,112914167
40000000,112930957
32500000,112964875
85000000,113026383
1500000,113169
50000000,113309743
80000000,113325743
35000000,113354449
12000000,113373764
46000000,113402302
45000000,113417762
1000000,113433
60000000,113461527
85000000,113487912
68000000,113542091
46000000,113622499
3500000,113783
55000000,113805580
45000000,113916474
25000000,114576403
70000000,114658262
30000000,114770654
40000000,114830111
35000000,114962525
30250000,115021008
25000000,115036108
45000000,115097874
100000000,115115984
30000000,115121608
30000000,115150424
15000,115592
14000000,115592104
3000000,115879
7200000,116000000
30000000,116025023
17000000,116044347
35000000,116177695
70000000,116625798
47000000,116773317
38000000,116809717
32000000,116898028
4000000,117085297
50000000,117211892
37000000,117378084
49000000,117419117
38000000,117425156
36000000,117448157
45000000,117615211
35000000,117729621
6000000,117796
70000000,117800000
40000000,118097882
10800000,118209778
40000000,118509836
10000000,118514727
20000000,118537627
67500000,118556530
51000000,118583844
2500000,118666
50000000,118729073
13000000,118763442
50000000,119114494
50000000,119180938
106000000,119266661
25000000,119295584
6000000,119452
2600000,119500000
75000000,119512771
40000000,119627047
80000000,119668350
38000000,119721296
48000000,119736188
16000000,119739110
1500000,119841
25000000,119923801
9500000,119955
3500000,12000000
21600000,12005968
30000000,12017369
7300000,12023606
28000000,12031443
12000000,12034913
3000000,12051924
60000000,12069719
10000000,12179708
7793000,12196
25000000,12219367
500000,12232
5000000,12232628
4500000,12247682
35000000,12254746
15000000,12262065
2500000,12267275
23000000,12291975
2500000,12300000
4000000,12302
44000000,12342632
40000000,12345883
24000000,12372410
6500000,12376563
10000000,12382122
15000000,12394562
20000000,12397613
20000000,12398628
5500000,12399772
3300000,12405473
1500000,12412889
25000000,12413949
15000000,12419700
1900000,12444
10300000,12478635
35000000,12506188
9000000,12512317
12000000,12516222
10000000,12517379
6000000,12523097
36000000,12532777
10000000,12554569
3000000,12577401
14000000,12591270
5000000,12592907
3500000,12600000
425000,12604
16000000,12617472
40000000,12624471
3400000,12636
12500000,12639854
9000000,12657377
50000000,12660287
2000000,12667
15000000,12669914
7200000,12678312
8000000,12740705
6000000,12793213
3500000,12800000
15000000,12801190
23000000,12803305
4900000,12826031
14000000,12826644
4000000,12836
25000000,12850033
30000000,12885574
9000000,12898064
47000000,12900000
16000000,12900000
5000000,12905107
12000000,12905901
55000000,12923936
15250000,12930343
1000000,12931420
5000000,12947763
5000000,12961389
22000000,12967012
20000000,12967829
15000000,12970401
1000000,12996
38000000,120000000
4000000,120016
90000000,120100000
15000000,120192350
10000000,120453155
40000000,120455994
25000000,120832383
5000000,121016
40000000,121032272
100000000,121100000
60000000,121327628
30000000,121413629
9000000,121661395
145000000,121671925
10700000,121706019
13000000,121778347
2000000,121807
45000000,122071435
55000000,122079192
20000000,122133227
13000000,122244329
48000000,122266018
35000000,122357172
65000000,122519874
30000000,122529966
156000000,122603824
70000000,122737201
8500000,122747755
15000000,123327692
80000000,123368842
3100000,123407
14500000,123660597
12000000,123681790
